,Date to Expired,Date,S50H23,ATM,Call ATM Premium,Put ATM Premium,Sum ATM Premium,Call OTM Premium,Put OTM Premium,Sum OTM Premium,Open,High,Low,Close,Volatility
0,0,2023-03-30,968.42,975,968.42,968.42,1936.84,,,0.0,971.63,975.04,964.65,969.55,0.1105677526155907
1,1,2023-03-29,972.6,975,3.4,5.6,9.0,0.1,0.3,0.4,970.93,974.3,965.49,971.45,0.11135304397061878
2,2,2023-03-28,966.7,975,3.0,11.4,14.4,0.2,1.5,1.7,965.41,968.63,964.04,967.78,0.11168747812122268
3,3,2023-03-27,959.7,950,13.4,3.7,17.1,2.9,0.7,3.5999999999999996,962.36,962.91,956.06,960.01,0.11142853398702889
4,4,2023-03-24,955.8,950,11.9,6.3,18.2,2.9,1.5,4.4,963.69,966.12,958.44,960.41,0.11165230634260498
5,5,2023-03-23,959.1,950,14.0,4.5,18.5,3.4,1.0,4.4,954.89,965.39,951.84,961.29,0.11170811093515072
6,6,2023-03-22,953.9,950,11.7,7.7,19.4,3.0,2.1,5.1,954.93,958.93,951.26,956.67,0.11227095345066322
7,7,2023-03-21,948.4,950,10.2,11.5,21.7,2.4,3.7,6.1,940.0,951.41,938.19,949.49,0.11200958287648452
8,8,2023-03-20,933.2,925,17.9,9.2,27.099999999999998,6.0,3.5,9.5,937.54,944.41,925.89,933.94,0.11376183964900266
9,9,2023-03-17,939.5,950,8.5,18.4,26.9,2.5,7.6,10.1,939.65,946.53,933.89,940.4,0.11467688868165167
10,10,2023-03-16,928.7,925,16.6,12.4,29.0,6.2,5.0,11.2,928.13,936.37,921.9,932.8,0.11440392680160409
11,11,2023-03-15,932.3,925,17.5,10.3,27.8,6.4,3.7,10.100000000000001,923.91,944.35,923.56,937.98,0.11430360580602346
12,12,2023-03-14,905.4,900,20.0,13.3,33.3,9.6,5.0,14.6,933.92,939.42,906.76,910.71,0.11044144878432945
13,13,2023-03-13,932.4,925,16.0,9.1,25.1,5.7,2.3,8.0,951.32,959.25,938.67,939.39,0.10617895614206944
14,14,2023-03-10,954.1,950,11.5,7.1,18.6,3.0,1.4,4.4,955.95,959.01,951.63,954.28,0.10533436582740745
15,15,2023-03-09,960.1,950,14.6,4.4,19.0,4.0,1.0,5.0,964.2,968.3,958.88,962.35,0.10628810087284786
16,16,2023-03-08,959.6,950,15.0,4.8,19.8,4.1,1.0,5.1,958.13,964.54,953.36,961.77,0.10641555083603321
17,17,2023-03-07,964.9,975,5.8,15.1,20.9,1.4,3.9,5.3,965.74,972.48,965.36,967.02,0.1063256400199376
18,18,2023-03-03,957.8,950,14.9,6.7,21.6,4.6,1.5,6.1,966.55,966.76,958.58,960.9,0.1072497812593431
19,19,2023-03-02,962.3,950,17.3,5.3,22.6,5.4,1.2,6.6000000000000005,966.41,973.55,962.01,965.31,0.10716388704137789
20,20,2023-03-01,961.4,950,17.9,5.8,23.7,5.9,1.5,7.4,969.37,972.6,965.61,966.94,0.1073405776544292
21,21,2023-02-28,965.8,975,7.2,16.2,23.4,2.3,4.9,7.2,973.97,976.73,964.03,965.56,0.10767561240313549
22,22,2023-02-27,967.5,975,8.3,15.7,24.0,2.8,4.9,7.7,973.4,975.96,968.82,969.33,0.10781910132395685
23,23,2023-02-24,967.7,975,8.5,15.4,23.9,2.8,4.2,7.0,986.85,987.62,972.22,973.75,0.10774209053867002
24,24,2023-02-23,983.1,975,15.5,7.2,22.7,4.9,1.7,6.6000000000000005,989.8,990.96,982.75,986.26,0.10700391176168002
25,25,2023-02-22,986.4,975,17.1,5.8,22.900000000000002,5.9,1.4,7.300000000000001,995.42,996.87,988.97,991.27,0.10840961260062137
26,26,2023-02-21,994.7,1000,8.6,13.6,22.2,2.5,3.7,6.2,992.62,998.94,987.36,997.76,0.10834834833802061
27,27,2023-02-20,989.1,1000,6.3,17.4,23.7,1.7,5.3,7.0,992.72,993.47,987.82,991.6,0.10820713402282056
28,28,2023-02-17,988.4,1000,6.5,17.6,24.1,1.7,5.6,7.3,991.95,993.57,985.41,990.44,0.10824625192807914
29,29,2023-02-16,990.9,1000,7.2,16.6,23.8,2.2,5.0,7.2,990.55,995.98,987.33,994.81,0.10815838055026755
30,30,2023-02-15,983.8,975,16.5,7.4,23.9,5.8,2.1,7.9,985.32,990.02,982.18,986.19,0.10781646003825342
31,31,2023-02-14,984.3,975,16.6,7.6,24.200000000000003,6.0,2.2,8.2,993.26,994.65,983.71,986.08,0.10792896803731772
32,32,2023-02-13,984.5,975,17.8,8.1,25.9,6.5,2.4,8.9,986.1,993.03,984.47,990.97,0.10785396404413924
33,33,2023-02-10,982.7,975,17.0,9.4,26.4,6.0,2.9,8.9,990.12,992.38,985.45,989.1,0.10785832086241072
34,34,2023-02-09,987.0,975,19.7,7.6,27.299999999999997,7.6,2.3,9.899999999999999,992.04,994.08,984.62,991.51,0.10789821203731453
35,35,2023-02-08,988.3,1000,8.4,20.0,28.4,2.9,7.8,10.7,1000.64,1001.49,990.31,992.32,0.10810699896208911
36,36,2023-02-07,995.3,1000,11.2,16.2,27.4,4.2,6.0,10.2,1000.28,1004.09,995.65,998.25,0.1079401098997449
37,37,2023-02-06,995.0,1000,12.0,16.7,28.7,4.4,6.6,11.0,1001.86,1003.32,997.04,998.63,0.10795759650806463
38,38,2023-02-03,1001.1,1000,15.0,14.0,29.0,6.0,5.4,11.4,999.61,1005.74,996.94,1004.22,0.10786599086891448
39,39,2023-02-02,996.1,1000,13.2,16.9,30.099999999999998,5.3,6.6,11.899999999999999,1004.03,1007.11,998.64,999.11,0.10775427290274814
40,40,2023-02-01,997.5,1000,14.0,16.4,30.4,5.8,6.8,12.6,996.56,1003.93,995.91,1002.39,0.10771359296478825
41,41,2023-01-31,990.3,1000,11.1,21.0,32.1,4.5,9.0,13.5,1002.86,1003.55,992.13,992.95,0.10768965985605763
42,42,2023-01-30,998.9,1000,15.3,15.9,31.200000000000003,6.3,7.2,13.5,1004.06,1005.2,999.3,1002.72,0.10727715874660419
43,43,2023-01-27,1000.0,1000,15.9,15.8,31.700000000000003,6.6,7.0,13.6,999.54,1005.32,996.04,1003.12,0.10732166256349482
44,44,2023-01-26,995.3,1000,13.6,18.6,32.2,6.0,8.2,14.2,1004.97,1006.22,994.82,997.69,0.10719382163347223
45,45,2023-01-25,1002.1,1000,17.5,15.4,32.9,7.4,6.6,14.0,1007.48,1008.75,1002.17,1005.04,0.10714115790505208
46,46,2023-01-24,1001.6,1000,17.5,15.8,33.3,7.5,7.1,14.6,1009.8,1013.53,1004.93,1005.12,0.10731148489266151
47,47,2023-01-23,1004.4,1000,19.1,15.1,34.2,8.6,6.7,15.3,1004.42,1010.64,1001.88,1006.08,0.10730678531783912
48,48,2023-01-20,1000.2,1000,17.1,17.4,34.5,7.8,8.0,15.8,1009.04,1009.82,998.39,1001.97,0.10725409536614476
49,49,2023-01-19,1005.8,1000,20.9,14.9,35.8,9.7,6.7,16.4,1005.61,1011.63,1004.83,1010.31,0.1086240474443853
50,50,2023-01-18,1004.6,1000,20.0,15.6,35.6,9.1,7.3,16.4,1005.34,1010.03,1003.28,1008.22,0.10864966443576525
51,51,2023-01-17,1002.5,1000,19.5,16.8,36.3,8.8,7.8,16.6,1007.91,1009.95,1002.53,1004.34,0.10893257399988475
52,52,2023-01-16,1003.5,1000,19.6,16.8,36.400000000000006,8.9,7.7,16.6,1009.29,1012.57,1003.5,1007.45,0.10889575202928473
53,53,2023-01-13,1003.6,1000,20.0,16.8,36.8,9.4,7.7,17.1,1014.31,1016.63,1001.5,1006.49,0.10910733666781101
