,Date to Expired,Date,S50Z22,ATM,Call ATM Premium,Put ATM Premium,Sum ATM Premium,Call OTM Premium,Put OTM Premium,Sum OTM Premium,Open,High,Low,Close,Volatility
0,0,2022-12-29,1007.94,1000,1007.94,1007.94,2015.88,,,0.0,998.37,1011.44,995.9,1010.19,0.11163376619210132
1,1,2022-12-28,999.8,1000,2.6,2.8,5.4,0.1,0.1,0.2,996.23,1002.07,994.18,1000.54,0.11131515582163073
2,2,2022-12-27,998.6,1000,3.5,4.5,8.0,0.1,0.2,0.30000000000000004,986.71,998.02,986.02,996.07,0.11132566044343915
3,3,2022-12-26,985.4,975,11.3,1.1,12.4,0.4,0.1,0.5,980.11,985.48,979.23,983.51,0.11063542554791597
4,4,2022-12-23,981.3,975,9.0,2.6,11.6,0.3,0.3,0.6,974.47,979.92,972.89,978.21,0.11070816713185158
5,5,2022-12-22,977.3,975,7.0,4.4,11.4,0.5,0.6,1.1,976.12,978.43,973.8,977.86,0.11169964343352097
6,6,2022-12-21,974.0,975,6.0,7.0,13.0,0.6,0.9,1.5,975.13,975.3,969.31,973.64,0.11170881907301128
7,7,2022-12-20,975.1,975,7.1,7.3,14.399999999999999,1.0,1.1,2.1,979.8,980.49,968.38,973.67,0.11170876703725592
8,8,2022-12-19,980.3,975,11.0,5.4,16.4,1.5,0.8,2.3,979.57,982.62,975.22,979.42,0.11234871069735061
9,9,2022-12-16,981.9,975,12.4,5.9,18.3,1.8,0.9,2.7,975.34,980.6,973.29,980.24,0.113238610056662
10,10,2022-12-15,977.9,975,10.0,7.0,17.0,1.3,1.1,2.4000000000000004,983.87,985.33,975.72,978.58,0.11414190353564548
11,11,2022-12-14,986.5,975,15.8,4.5,20.3,3.1,0.8,3.9000000000000004,983.5,987.28,981.22,984.7,0.11699077502497837
12,12,2022-12-13,981.3,975,12.5,6.3,18.8,1.9,1.2,3.0999999999999996,982.87,984.62,977.14,981.17,0.1169455482339753
