,Date to Expired,Date,S50Z22,ATM,Call ATM Premium,Put ATM Premium,Sum ATM Premium,Call OTM Premium,Put OTM Premium,Sum OTM Premium,Open,High,Low,Close,Volatility
13,13,2022-12-09,981.2,975,12.1,6.0,18.1,2.0,1.4,3.4,977.9,983.22,974.63,979.01,0.11694100086164265
14,14,2022-12-08,976.5,975,9.9,8.3,18.200000000000003,1.8,1.9,3.7,979.22,980.26,972.84,977.47,0.11694535014438338
15,15,2022-12-07,980.9,975,13.1,7.1,20.2,2.7,1.8,4.5,983.25,987.36,977.78,978.83,0.11704002720661796
16,16,2022-12-06,984.4,975,16.0,6.2,22.2,4.3,1.6,5.9,985.74,986.56,980.06,983.77,0.11703242737307205
17,17,2022-12-02,988.5,1000,6.0,17.7,23.7,1.2,5.7,6.9,993.63,994.21,985.39,987.3,0.11700899752839616
18,18,2022-12-01,994.3,1000,9.3,15.3,24.6,1.9,5.1,7.0,996.86,997.99,992.39,994.36,0.11678991674748569
19,19,2022-11-30,994.8,1000,10.0,15.7,25.7,2.0,5.5,7.5,987.32,994.48,983.53,993.78,0.1168144512572354
20,20,2022-11-29,987.1,975,19.8,7.7,27.5,6.9,2.8,9.7,981.12,987.37,978.47,986.92,0.1166979731600161
21,21,2022-11-28,979.5,975,14.9,10.3,25.200000000000003,4.6,3.8,8.399999999999999,978.91,982.56,976.28,979.53,0.11645603770167402
22,22,2022-11-25,982.8,975,16.9,9.2,26.099999999999998,6.1,3.5,9.6,985.35,985.84,980.42,983.27,0.11639480928202602
23,23,2022-11-24,988.5,1000,7.8,20.2,28.0,1.9,7.7,9.6,991.12,992.12,984.82,988.13,0.11629631750943145
24,24,2022-11-23,991.7,1000,9.8,18.5,28.3,2.2,7.5,9.7,985.06,990.17,983.13,987.84,0.11629637119038122
25,25,2022-11-22,983.6,975,18.8,10.3,29.1,6.7,4.3,11.0,985.15,991.22,979.59,981.97,0.11614406607015393
26,26,2022-11-21,984.8,975,19.9,9.7,29.599999999999998,7.0,4.5,11.5,978.92,986.35,976.91,984.74,0.11610948018126915
27,27,2022-11-18,983.7,975,19.9,11.1,31.0,7.5,4.7,12.2,980.92,983.55,977.37,981.62,0.116317757296689
28,28,2022-11-17,980.9,975,18.3,12.2,30.5,6.8,5.0,11.8,981.81,983.21,977.47,980.74,0.11634337787941613
29,29,2022-11-16,985.2,975,20.7,10.7,31.4,8.3,4.7,13.0,991.42,991.67,981.99,984.61,0.11637456046228462
30,30,2022-11-15,993.7,1000,11.4,17.7,29.1,3.3,8.0,11.3,993.04,996.3,989.2,992.23,0.11619858093604926
31,31,2022-11-14,992.8,1000,11.2,18.6,29.8,3.3,8.8,12.100000000000001,997.43,1000.05,988.46,992.15,0.11621793084987682
32,32,2022-11-11,1003.5,1000,16.7,13.5,30.2,6.1,6.4,12.5,999.32,1003.34,994.96,1001.3,0.11584940886609722
33,33,2022-11-10,987.8,1000,10.0,22.0,32.0,2.9,10.7,13.6,982.93,990.3,981.0,987.63,0.11524236524505962
34,34,2022-11-09,988.8,1000,10.2,21.6,31.8,3.1,11.1,14.2,994.96,996.86,987.55,989.39,0.11523483018098139
35,35,2022-11-08,996.6,1000,14.2,17.7,31.9,4.7,9.1,13.8,990.23,996.85,990.02,994.83,0.11526535583290698
36,36,2022-11-07,988.5,1000,10.7,22.9,33.599999999999994,3.6,11.5,15.1,993.31,995.52,984.97,987.27,0.11505120910440043
37,37,2022-11-04,985.9,975,23.5,13.0,36.5,10.2,6.7,16.9,991.58,997.03,989.3,989.77,0.11508871696167011
38,38,2022-11-03,988.7,1000,12.0,22.9,34.9,4.0,12.3,16.3,988.66,992.31,986.72,989.65,0.1154561572815643
39,39,2022-11-02,991.1,1000,13.1,22.2,35.3,4.2,11.8,16.0,991.04,994.97,987.62,991.48,0.115499600878286
40,40,2022-11-01,992.1,1000,13.5,21.8,35.3,4.0,11.3,15.3,983.0,992.01,981.58,989.52,0.11548289430694546
41,41,2022-10-31,979.1,975,19.0,15.2,34.2,8.2,7.6,15.799999999999999,982.19,985.18,976.27,979.45,0.11505071214485967
42,42,2022-10-28,977.1,975,18.2,16.3,34.5,7.5,7.5,15.0,975.35,978.08,970.35,976.57,0.11524722742443273
43,43,2022-10-27,973.6,975,16.4,17.8,34.2,6.6,8.6,15.2,969.81,977.2,967.09,974.96,0.11528170973625071
44,44,2022-10-26,965.8,975,13.0,22.0,35.0,4.8,11.5,16.3,970.18,971.42,965.33,967.34,0.11507016246557732
45,45,2022-10-25,965.2,975,12.7,22.8,35.5,4.6,11.7,16.299999999999997,965.9,968.66,962.9,967.32,0.11543038820454889
46,46,2022-10-21,959.2,950,23.4,14.8,38.2,11.1,7.6,18.7,959.65,963.66,957.8,961.6,0.11541626813555399
47,47,2022-10-20,958.5,950,23.1,15.0,38.1,11.1,7.5,18.6,950.21,962.98,948.53,961.71,0.11568672542701751
48,48,2022-10-19,951.0,950,20.1,18.9,39.0,9.4,9.8,19.200000000000003,954.13,956.93,949.59,952.96,0.11550273668534045
49,49,2022-10-18,949.1,950,19.6,20.6,40.2,9.2,10.7,19.9,946.36,956.4,945.35,952.84,0.11550480831014258
50,50,2022-10-17,940.7,950,16.3,25.2,41.5,7.9,14.0,21.9,938.84,945.27,931.66,942.77,0.11526136908224471
51,51,2022-10-12,936.6,925,28.5,16.9,45.4,15.5,9.0,24.5,938.66,941.36,935.14,937.91,0.11514324399820376
52,52,2022-10-11,931.8,925,26.0,19.0,45.0,14.3,10.4,24.700000000000003,937.99,940.57,933.71,937.22,0.11517895349707914
53,53,2022-10-10,937.1,925,29.0,17.0,46.0,16.2,9.4,25.6,941.54,943.19,936.07,940.62,0.11526688119793906
54,54,2022-10-07,946.1,950,19.6,23.6,43.2,9.6,13.1,22.7,951.09,952.52,941.61,946.51,0.11580878681271413
55,55,2022-10-06,947.6,950,20.4,22.9,43.3,10.4,13.0,23.4,951.9,957.11,950.09,950.17,0.11576794668614933
56,56,2022-10-05,942.0,950,18.7,26.4,45.099999999999994,9.2,15.7,24.9,951.78,953.98,944.96,948.33,0.11597059755406264
57,57,2022-10-04,943.5,950,19.4,26.2,45.599999999999994,9.8,15.5,25.3,948.11,950.75,939.9,946.89,0.11686858320821455
58,58,2022-10-03,940.0,950,19.0,29.1,48.1,9.0,17.6,26.6,952.76,956.98,936.1,937.55,0.11649471725707311
59,59,2022-09-30,951.8,950,24.1,22.3,46.400000000000006,12.6,13.5,26.1,955.62,959.66,952.51,954.44,0.11517028712779037
60,60,2022-09-29,957.6,950,27.3,20.5,47.8,15.7,12.8,28.5,968.24,973.22,954.51,956.73,0.11515451958380023
61,61,2022-09-28,961.5,950,31.0,18.6,49.6,17.0,11.0,28.0,965.31,969.07,962.4,963.75,0.11514115783262029
62,62,2022-09-27,969.2,975,20.6,26.7,47.3,10.0,16.2,26.2,975.65,979.89,970.95,972.71,0.11483437896368161
63,63,2022-09-26,971.0,975,20.9,25.6,46.5,10.8,15.4,26.200000000000003,977.8,978.57,970.48,974.9,0.11486741343398645
64,64,2022-09-23,976.1,975,23.8,22.9,46.7,12.4,13.7,26.1,988.26,990.73,980.05,980.86,0.115196678998886
65,65,2022-09-22,985.3,975,28.9,18.5,47.4,15.5,10.6,26.1,981.36,992.47,977.65,989.15,0.11489448305202961
66,66,2022-09-21,980.9,975,26.3,21.3,47.6,14.0,12.7,26.7,986.37,988.62,983.2,983.43,0.11490963426543577
67,67,2022-09-20,980.4,975,26.8,20.9,47.7,13.8,12.7,26.5,986.7,990.22,983.71,985.66,0.114931290106064
68,68,2022-09-19,978.0,975,26.2,22.8,49.0,13.6,13.0,26.6,982.59,984.59,979.35,981.37,0.11486136721239432
69,69,2022-09-16,978.5,975,25.2,22.4,47.599999999999994,13.3,13.5,26.8,986.5,988.07,979.63,981.42,0.11536326877781694
70,70,2022-09-15,984.0,975,28.9,19.7,48.599999999999994,15.5,12.0,27.5,997.23,997.96,988.56,989.04,0.11517201306475713
71,71,2022-09-14,993.6,1000,19.7,26.1,45.8,9.1,16.0,25.1,991.86,998.94,990.42,996.41,0.11503378676168075
72,72,2022-09-13,998.3,1000,23.4,25.2,48.599999999999994,9.3,16.0,25.3,1003.06,1005.46,998.97,1001.73,0.1159359314877247
73,73,2022-09-12,997.1,1000,22.3,25.5,47.8,8.2,16.2,24.4,997.84,1004.56,997.2,1001.19,0.11617703240511255
74,74,2022-09-09,987.8,1000,16.8,29.0,45.8,6.3,20.2,26.5,991.43,996.05,988.43,993.48,0.11593003252667651
75,75,2022-09-08,980.9,975,29.0,23.1,52.1,14.3,15.2,29.5,993.09,995.19,985.33,987.49,0.11612079973294241
76,76,2022-09-07,982.4,975,28.8,22.5,51.3,14.8,14.6,29.4,988.78,990.58,983.5,989.33,0.11613273459618202
77,77,2022-09-06,983.3,975,30.2,22.5,52.7,15.4,14.8,30.200000000000003,986.29,993.75,984.75,990.97,0.11838795311123132
78,78,2022-09-05,975.8,975,26.0,25.5,51.5,13.0,16.8,29.8,984.57,984.81,977.33,982.59,0.11821952683024797
79,79,2022-09-02,975.8,975,27.0,25.5,52.5,13.3,16.8,30.1,984.56,987.31,976.98,983.99,0.11845391140469949
80,80,2022-09-01,979.0,975,27.5,24.0,51.5,15.0,16.3,31.3,993.51,995.87,981.1,984.55,0.11853562593148974
81,81,2022-08-31,987.5,975,32.0,21.0,53.0,17.9,14.2,32.099999999999994,989.33,998.53,987.55,996.33,0.118146778073068
82,82,2022-08-30,987.5,975,31.2,20.0,51.2,18.6,13.1,31.700000000000003,987.1,996.27,984.93,994.59,0.11824385217635305
83,83,2022-08-29,976.5,975,26.7,24.8,51.5,13.9,16.4,30.299999999999997,982.93,989.91,980.16,985.36,0.11789783355189518
84,84,2022-08-26,989.5,1000,19.0,31.0,50.0,9.5,19.6,29.1,996.52,998.54,990.45,995.69,0.11754914725726333
85,85,2022-08-25,989.1,1000,19.4,28.6,48.0,9.4,20.5,29.9,993.38,997.74,990.8,995.67,0.11754994882349812
86,86,2022-08-24,982.5,975,28.1,22.1,50.2,17.5,15.5,33.0,986.78,992.73,982.79,988.14,0.11814755975161097
87,87,2022-08-23,981.9,975,29.0,23.0,52.0,18.0,15.5,33.5,975.27,989.54,972.29,987.23,0.11820278513664087
88,88,2022-08-22,968.7,975,22.7,29.5,52.2,12.7,19.0,31.7,981.75,984.0,972.97,976.2,0.11872575796630581
89,89,2022-08-19,976.6,975,27.5,26.6,54.1,14.8,17.4,32.2,987.1,989.97,981.73,983.35,0.11853206932409469
90,90,2022-08-18,985.3,975,31.8,22.8,54.6,17.5,15.4,32.9,989.84,991.92,984.87,989.0,0.11868758624255779
91,91,2022-08-17,984.1,975,31.2,22.5,53.7,17.8,16.0,33.8,987.75,993.44,985.67,991.48,0.11871086972021813
92,92,2022-08-16,979.7,975,29.0,23.3,52.3,15.1,16.1,31.200000000000003,989.11,989.96,983.73,986.68,0.11903343155972074
93,93,2022-08-15,981.4,975,29.5,23.0,52.5,15.5,15.5,31.0,985.67,990.44,982.39,986.65,0.11904239422426759
94,94,2022-08-11,977.4,975,26.7,25.5,52.2,14.2,18.0,32.2,987.14,987.83,978.63,985.62,0.11920557102647707
95,95,2022-08-10,973.7,975,26.3,28.0,54.3,13.4,18.5,31.9,980.68,983.24,974.81,983.12,0.11937700238854297
96,96,2022-08-09,975.6,975,27.3,27.0,54.3,14.5,18.0,32.5,978.49,984.8,975.64,982.23,0.11960384345264188
97,97,2022-08-08,969.7,975,24.4,31.0,55.4,13.9,20.8,34.7,969.23,979.06,961.49,979.06,0.11957945109479462
98,98,2022-08-05,961.0,950,35.9,25.2,61.099999999999994,21.5,15.9,37.4,969.56,970.31,964.1,969.41,0.11969718370555495
99,99,2022-08-04,959.9,950,35.3,25.3,60.599999999999994,20.4,16.3,36.7,969.83,971.85,963.13,967.29,0.12037031977358847
100,100,2022-08-03,960.3,950,35.6,21.6,57.2,20.9,16.9,37.8,965.3,969.58,961.6,967.19,0.12037073422071447
101,101,2022-08-02,956.9,950,33.8,26.6,60.4,20.5,17.6,38.1,963.5,968.51,961.61,965.65,0.12037625458290999
102,102,2022-08-01,957.6,950,35.0,26.1,61.1,20.9,17.6,38.5,962.56,967.61,958.52,965.53,0.12044121871320347
103,103,2022-07-27,951.3,950,31.2,30.5,61.7,19.3,21.0,40.3,951.54,959.04,947.73,958.73,0.12091700859613612
104,104,2022-07-26,944.6,950,27.9,32.9,60.8,17.0,23.2,40.2,955.13,956.13,949.36,950.42,0.12062801702649914
105,105,2022-07-25,947.0,950,28.8,32.4,61.2,18.5,23.0,41.5,950.58,955.54,945.61,953.07,0.12068412441523736
106,106,2022-07-22,945.3,950,28.5,34.0,62.5,17.4,23.5,40.9,948.57,952.24,942.27,950.2,0.12225557642863327
107,107,2022-07-21,937.5,925,36.8,25.8,62.599999999999994,24.5,17.4,41.9,941.07,946.97,938.22,944.99,0.12245969632191073
108,108,2022-07-20,934.2,925,35.8,27.2,63.0,24.9,18.6,43.5,945.45,946.16,938.35,941.96,0.12260611487553925
109,109,2022-07-19,934.2,925,35.1,28.0,63.1,24.0,19.2,43.2,944.56,945.85,932.17,940.27,0.12259780823657292
110,110,2022-07-18,940.6,950,27.6,35.5,63.1,15.4,23.5,38.9,944.45,949.64,941.38,947.96,0.12262091982220191
111,111,2022-07-15,933.9,925,34.9,28.6,63.5,24.5,16.9,41.4,943.48,944.22,929.92,940.9,0.12245004046256971
112,112,2022-07-14,935.0,925,33.2,26.1,59.300000000000004,23.5,15.2,38.7,946.02,949.83,938.29,942.57,0.12249663270111001
113,113,2022-07-12,941.6,950,26.0,35.0,61.0,16.5,22.8,39.3,953.07,954.76,945.46,948.5,0.12256831776896625
114,114,2022-07-11,949.2,950,29.9,29.7,59.599999999999994,19.3,20.0,39.3,953.03,955.82,949.09,955.75,0.12242302464061014
115,115,2022-07-08,949.6,950,29.9,32.0,61.9,19.8,21.0,40.8,959.41,960.27,950.81,954.36,0.12242260699303203
116,116,2022-07-07,948.9,950,30.0,34.4,64.4,18.5,21.7,40.2,946.14,956.59,943.1,954.85,0.12245785057231381
117,117,2022-07-06,937.2,925,39.3,27.4,66.69999999999999,24.2,17.3,41.5,943.19,947.33,936.9,944.15,0.12197062074383626
118,118,2022-07-05,934.0,925,39.9,26.7,66.6,25.1,19.8,44.900000000000006,955.02,957.81,941.19,943.49,0.12197193870062754
119,119,2022-07-04,940.5,950,27.6,36.1,63.7,17.5,24.2,41.7,957.05,959.09,949.52,950.85,0.12201883356324852
120,120,2022-07-01,943.9,950,29.6,35.2,64.80000000000001,23.5,23.6,47.1,953.74,958.2,948.88,955.99,0.12193355646080498
