,Date to Expired,Date,S50H21,ATM,Call ATM Premium,Put ATM Premium,Sum ATM Premium,Call OTM Premium,Put OTM Premium,Sum OTM Premium,Open,High,Low,Close,Volatility
41,41,2021-01-28,912.1,900,42.9,31.5,74.4,31.0,22.8,53.8,925.61,932.62,916.46,916.91,0.3441125117627757
42,42,2021-01-27,932.1,925,38.2,31.0,69.2,26.3,22.4,48.7,948.39,951.58,936.76,936.76,0.3435204623010601
43,43,2021-01-26,946.7,950,33.7,37.3,71.0,22.7,26.7,49.4,937.58,952.25,932.19,951.02,0.34320919258864657
44,44,2021-01-25,935.4,925,42.0,31.2,73.2,28.2,22.1,50.3,939.47,944.67,933.29,942.0,0.3430800354817947
45,45,2021-01-22,931.8,925,39.9,33.4,73.3,27.6,23.7,51.3,947.04,954.35,936.03,939.73,0.34306773573217053
46,46,2021-01-21,949.2,950,36.5,37.1,73.6,25.1,27.0,52.1,960.09,962.79,948.47,951.58,0.3431249403872338
47,47,2021-01-20,946.1,950,37.1,41.2,78.30000000000001,27.4,31.5,58.9,958.86,962.86,949.18,952.86,0.3435133522547664
48,48,2021-01-19,950.6,950,41.5,41.0,82.5,29.3,30.8,60.1,956.2,964.13,955.68,958.16,0.3436507670849611
49,49,2021-01-18,946.1,950,40.9,44.3,85.19999999999999,29.3,33.2,62.5,951.27,954.98,943.94,949.64,0.34381473946506036
50,50,2021-01-15,954.1,950,44.7,40.0,84.7,32.4,30.6,63.0,971.49,977.38,954.3,957.86,0.34371952116678733
51,51,2021-01-14,968.7,975,41.0,48.2,89.2,30.8,36.9,67.7,978.11,984.91,969.64,971.35,0.3436635382972714
52,52,2021-01-13,976.8,975,44.7,44.0,88.7,33.9,34.0,67.9,981.68,992.03,976.81,980.75,0.34353799564684023
53,53,2021-01-12,971.5,975,44.2,47.4,91.6,33.8,37.1,70.9,973.75,978.64,967.01,975.51,0.34349374433959684
54,54,2021-01-11,968.2,975,44.1,51.5,95.6,33.5,40.9,74.4,978.89,988.32,968.69,974.91,0.3435049471094062
55,55,2021-01-08,970.9,975,46.8,50.7,97.5,36.2,39.7,75.9,965.7,977.59,964.91,977.59,0.3435091944008045
56,56,2021-01-07,949.8,950,49.5,50.0,99.5,37.5,39.3,76.8,952.69,959.29,946.05,955.39,0.34272981997747204
57,57,2021-01-06,938.5,950,44.9,55.5,100.4,34.5,46.0,80.5,951.94,957.42,935.88,940.41,0.3423489432711271
58,58,2021-01-05,949.4,950,46.9,47.8,94.69999999999999,35.8,36.6,72.4,923.2,953.99,921.51,953.99,0.3420672036938624
59,59,2021-01-04,922.5,925,43.0,45.0,88.0,33.2,34.2,67.4,896.7,924.36,893.62,924.36,0.3406077476346364
60,60,2020-12-30,905.5,900,48.0,41.8,89.8,35.2,31.8,67.0,927.67,929.05,907.73,910.45,0.3404796109875714
61,61,2020-12-29,921.8,925,42.7,46.5,89.2,31.1,35.0,66.1,910.61,924.16,907.95,924.0,0.34018770313578534
62,62,2020-12-28,905.2,900,48.5,45.5,94.0,40.5,36.6,77.1,925.42,925.75,905.13,905.64,0.3399836465457613
63,63,2020-12-25,919.9,925,47.4,53.0,100.4,37.4,40.9,78.3,915.07,920.89,911.17,918.35,0.3398368928060077
64,64,2020-12-24,906.6,900,52.3,46.3,98.6,43.0,39.5,82.5,896.75,913.11,890.63,910.01,0.3398213357025581
65,65,2020-12-23,888.0,900,43.9,55.0,98.9,34.7,44.9,79.6,903.99,916.35,893.87,893.9,0.3393258364345787
66,66,2020-12-22,904.7,900,48.8,46.0,94.8,39.0,38.0,77.0,893.89,910.49,881.64,906.0,0.3390834503960223
67,67,2020-12-21,876.3,875,44.5,40.5,85.0,30.3,31.1,61.400000000000006,912.02,926.2,891.88,892.0,0.3387163503512167
68,68,2020-12-18,942.9,950,35.0,44.5,79.5,27.2,30.9,58.099999999999994,949.32,953.6,940.86,947.28,0.33341293256776194
69,69,2020-12-17,944.6,950,37.6,42.4,80.0,29.2,29.9,59.099999999999994,954.01,959.85,948.47,948.99,0.3334100922089222
70,70,2020-12-16,947.6,950,39.1,41.6,80.7,30.7,30.1,60.8,955.9,956.95,944.69,950.9,0.3337014639664954
71,71,2020-12-15,943.8,950,38.5,47.9,86.4,31.5,36.0,67.5,941.09,950.06,934.63,949.28,0.3337501938722782
72,72,2020-12-14,944.1,950,39.3,46.0,85.3,30.0,32.5,62.5,962.45,965.84,945.14,947.82,0.33379446576347915
73,73,2020-12-09,956.4,950,44.5,38.9,83.4,34.0,29.0,63.0,962.47,968.93,951.88,958.49,0.3336239828027356
74,74,2020-12-08,950.6,950,42.0,42.0,84.0,32.5,31.0,63.5,937.8,960.32,932.41,955.75,0.33364439504396126
75,75,2020-12-04,937.9,950,36.0,51.5,87.5,27.5,39.5,67.0,931.47,944.35,931.0,940.17,0.3334190394735761
76,76,2020-12-03,925.0,925,45.0,41.0,86.0,32.3,30.0,62.3,922.17,933.02,918.67,931.1,0.33329355382223974
77,77,2020-12-02,914.6,925,39.5,50.0,89.5,38.5,34.0,72.5,914.8,926.81,913.81,917.49,0.3329451289923424
78,78,2020-12-01,915.5,925,37.0,45.9,82.9,29.0,36.5,65.5,915.65,926.91,915.07,919.58,0.333019862909984
79,79,2020-11-30,906.4,900,57.7,36.8,94.5,35.0,29.0,64.0,924.36,929.03,908.39,908.61,0.3327781799476611
80,80,2020-11-27,928.3,925,50.1,43.0,93.1,38.5,34.0,72.5,930.56,938.34,927.77,933.14,0.33178629500243456
81,81,2020-11-26,931.9,925,47.0,45.5,92.5,37.1,33.5,70.6,928.48,934.17,923.73,933.6,0.3317980178517407
82,82,2020-11-25,924.2,925,43.7,49.4,93.1,37.6,51.6,89.2,924.77,933.87,904.71,924.42,0.3316375339022527
83,83,2020-11-24,910.0,900,49.9,40.0,89.9,39.1,28.1,67.2,934.92,937.36,912.03,912.85,0.3314251065978699
84,84,2020-11-23,924.7,925,40.9,44.0,84.9,29.6,33.0,62.6,910.11,929.43,908.38,927.63,0.33108463321416104
85,85,2020-11-20,899.7,900,38.0,61.5,99.5,29.5,36.4,65.9,888.78,905.3,886.94,904.47,0.33018568346343563
86,86,2020-11-19,885.7,875,61.3,39.0,100.3,31.0,27.0,58.0,886.73,895.15,885.5,889.7,0.32973433982951805
87,87,2020-11-18,888.7,900,34.8,50.9,85.69999999999999,41.6,57.8,99.4,872.85,888.51,868.84,888.51,0.3299590607012986
88,88,2020-11-17,872.4,875,45.0,64.2,109.2,30.4,34.8,65.19999999999999,882.56,889.17,872.64,876.66,0.3296555698602678
89,89,2020-11-16,875.0,875,59.5,65.3,124.8,31.0,52.4,83.4,886.17,889.98,878.0,878.24,0.3296882486272818
90,90,2020-11-13,873.4,875,46.0,69.1,115.1,30.0,42.9,72.9,862.37,880.98,859.95,875.4,0.33046192893194176
91,91,2020-11-12,861.9,850,69.6,60.5,130.1,58.3,48.4,106.69999999999999,873.24,873.75,860.82,868.27,0.33035690761309405
92,92,2020-11-11,873.1,875,41.2,70.8,112.0,37.8,57.7,95.5,885.25,888.28,867.01,878.09,0.33019589501113944
93,93,2020-11-10,872.4,875,42.5,74.3,116.8,35.6,61.0,96.6,861.56,879.64,846.56,875.64,0.33031633758078643
94,94,2020-11-09,814.7,825,35.0,54.4,89.4,22.0,30.8,52.8,814.64,826.86,811.64,819.07,0.3232882618398514
95,95,2020-11-06,789.3,800,28.0,48.6,76.6,20.3,32.0,52.3,800.01,805.38,790.93,798.05,0.3221870862242057
96,96,2020-11-05,794.5,800,29.0,35.0,64.0,16.0,25.0,41.0,774.29,801.95,772.36,799.58,0.3225237513887505
97,97,2020-11-04,756.8,800,12.1,58.5,70.6,9.0,41.5,50.5,766.71,772.75,759.88,765.09,0.31932699104044227
98,98,2020-11-03,759.3,800,13.4,58.9,72.3,8.0,42.1,50.1,756.79,767.28,756.29,766.0,0.31944667335579896
99,99,2020-11-02,742.8,800,10.4,68.9,79.30000000000001,6.6,52.3,58.9,747.17,751.63,743.57,750.87,0.31878210924821
100,100,2020-10-30,738.7,800,11.1,72.2,83.3,6.5,53.1,59.6,753.06,753.25,739.95,746.26,0.31869002329462065
101,101,2020-10-29,744.7,800,11.0,70.8,81.8,7.0,50.3,57.3,750.49,755.49,746.81,751.14,0.3186516134882287
102,102,2020-10-28,747.4,800,12.0,66.1,78.1,7.3,48.0,55.3,756.84,764.39,754.7,756.02,0.31868671940276744
103,103,2020-10-27,750.1,800,13.6,66.2,79.8,8.4,46.3,54.699999999999996,751.57,761.47,748.23,758.72,0.31869283919212005
104,104,2020-10-26,750.7,800,13.5,66.2,79.7,8.1,45.0,53.1,761.79,762.8,755.42,757.85,0.3191100404238776
105,105,2020-10-22,757.6,800,17.0,63.8,80.8,9.9,46.8,56.699999999999996,762.96,771.22,755.75,762.68,0.3191490674976407
106,106,2020-10-21,757.7,800,16.9,63.1,80.0,8.7,41.0,49.7,765.4,769.14,760.64,765.1,0.319193993827363
107,107,2020-10-20,752.8,800,14.1,66.8,80.89999999999999,8.6,45.0,53.6,757.61,767.63,753.63,760.71,0.31911501994073627
108,108,2020-10-19,754.4,800,15.0,56.5,71.5,8.7,42.3,51.0,768.22,769.28,757.33,760.94,0.3191946474058447
109,109,2020-10-16,771.2,800,19.7,55.8,75.5,10.7,35.2,45.900000000000006,783.74,785.44,771.77,776.5,0.3186334027006027
110,110,2020-10-15,776.2,800,21.0,42.9,63.9,12.6,31.1,43.7,787.6,790.65,779.99,782.02,0.31858015269484835
111,111,2020-10-14,788.9,800,26.0,40.0,66.0,16.3,24.9,41.2,800.31,801.91,790.4,794.81,0.31828302041814394
112,112,2020-10-12,798.6,800,29.0,35.0,64.0,19.3,23.0,42.3,801.79,808.69,797.87,804.59,0.31819822556096716
113,113,2020-10-09,794.1,800,27.5,38.5,66.0,18.7,29.6,48.3,808.18,809.17,797.89,800.79,0.3181547993096224
114,114,2020-10-08,799.9,800,31.3,41.3,72.6,22.7,20.5,43.2,801.81,810.61,799.45,804.96,0.3182055608749387
115,115,2020-10-07,789.0,800,28.0,45.7,73.7,19.1,27.5,46.6,785.08,798.08,782.21,797.43,0.3181200053556262
116,116,2020-10-06,779.8,800,25.5,51.0,76.5,17.1,36.6,53.7,788.32,792.25,785.1,787.62,0.31783107937748134
117,117,2020-10-05,775.8,800,25.0,52.5,77.5,15.0,36.0,51.0,783.52,785.56,778.07,781.81,0.31778384635009566
118,118,2020-10-02,771.2,800,23.7,58.9,82.6,14.3,40.7,55.0,785.07,785.75,772.78,777.31,0.31781292202148365
119,119,2020-10-01,781.4,800,28.0,52.4,80.4,19.3,38.0,57.3,786.49,791.02,777.61,788.02,0.3175711256710337
