,Date to Expired,Date,S50H21,ATM,Call ATM Premium,Put ATM Premium,Sum ATM Premium,Call OTM Premium,Put OTM Premium,Sum OTM Premium,Open,High,Low,Close,Volatility
0,0,2021-03-30,973.64,975,973.64,973.64,1947.28,,,0.0,971.49,976.17,968.91,972.7,0.2876967910467725
1,1,2021-03-29,969.2,975,2.5,8.7,11.2,0.2,0.5,0.7,968.29,975.11,966.74,967.69,0.28914280105328916
2,2,2021-03-26,962.7,975,3.0,14.5,17.5,0.6,2.2,2.8000000000000003,965.7,968.87,958.75,963.66,0.315194929037478
3,3,2021-03-25,959.0,950,13.1,4.3,17.4,2.5,1.0,3.5,964.35,967.5,960.03,961.75,0.3158583896264684
4,4,2021-03-24,960.8,950,14.7,3.8,18.5,2.7,1.1,3.8000000000000003,952.63,961.59,950.9,961.59,0.31614472177483993
5,5,2021-03-23,958.4,950,12.8,4.9,17.700000000000003,3.3,1.5,4.8,962.92,964.34,955.59,957.73,0.3315111582942956
6,6,2021-03-22,957.1,950,13.4,6.2,19.6,3.9,1.9,5.8,958.28,963.97,952.19,959.48,0.33227473459988505
7,7,2021-03-19,958.1,950,15.0,7.6,22.6,4.6,2.7,7.3,960.62,963.37,954.7,959.41,0.3323501182680508
8,8,2021-03-18,966.6,975,7.3,16.1,23.400000000000002,2.8,5.4,8.2,976.51,979.53,965.74,966.15,0.33227302116149826
9,9,2021-03-17,965.5,975,8.6,18.4,27.0,3.3,7.0,10.3,963.35,970.93,960.5,967.45,0.33390536630675616
10,10,2021-03-16,963.5,975,8.8,20.0,28.8,3.3,7.7,11.0,970.23,973.38,963.97,965.26,0.3338995413786194
11,11,2021-03-15,968.9,975,12.3,18.5,30.8,5.7,7.6,13.3,975.43,977.83,965.77,968.34,0.3368841649477137
12,12,2021-03-12,973.8,975,14.7,16.0,30.7,7.0,7.7,14.7,981.83,985.45,969.49,973.16,0.33761519732811557
13,13,2021-03-11,977.1,975,17.2,15.1,32.3,7.9,7.8,15.7,982.46,984.62,973.57,978.7,0.3418179217829696
14,14,2021-03-10,970.9,975,14.8,19.0,33.8,7.2,9.1,16.3,962.16,976.66,959.33,975.73,0.34185463336966876
15,15,2021-03-09,959.2,950,22.6,13.7,36.3,11.2,6.5,17.7,964.96,966.67,951.81,961.27,0.34409872544745224
16,16,2021-03-08,954.5,950,21.6,16.9,38.5,10.8,9.3,20.1,968.9,971.51,955.09,958.16,0.34410155417052907
17,17,2021-03-05,957.0,950,24.4,17.3,41.7,13.1,9.0,22.1,950.12,966.77,949.13,958.33,0.3442823555382555
18,18,2021-03-04,953.3,950,21.5,18.5,40.0,12.0,10.1,22.1,957.15,959.9,950.12,953.61,0.344260568962173
19,19,2021-03-03,962.4,950,28.5,16.0,44.5,16.1,9.1,25.200000000000003,938.15,964.34,937.97,964.34,0.34422159047902806
20,20,2021-03-02,929.0,925,22.4,17.5,39.9,10.7,9.9,20.6,934.58,938.21,931.35,933.35,0.34264997128937635
21,21,2021-03-01,929.7,925,22.3,17.7,40.0,11.3,10.0,21.3,928.25,936.97,924.02,932.94,0.34267459826960517
22,22,2021-02-25,927.7,925,21.3,18.3,39.6,10.9,10.4,21.3,939.83,941.27,927.97,929.95,0.34272152898785846
23,23,2021-02-24,924.6,925,21.2,21.1,42.3,10.4,12.5,22.9,935.71,938.57,922.77,926.74,0.34291536605822515
24,24,2021-02-23,926.4,925,22.0,21.6,43.6,11.7,12.8,24.5,924.03,938.33,922.76,933.34,0.34295108553937165
25,25,2021-02-22,913.1,925,18.6,30.9,49.5,10.2,18.7,28.9,933.25,934.1,915.41,916.29,0.342430204921392
26,26,2021-02-19,928.3,925,25.4,22.2,47.599999999999994,14.3,13.5,27.8,933.13,935.38,925.33,930.51,0.3421022863642971
27,27,2021-02-18,933.2,925,29.0,21.3,50.3,16.0,13.3,29.3,945.24,949.22,938.05,938.08,0.3421371739383273
28,28,2021-02-17,934.2,925,31.5,21.9,53.4,18.2,14.0,32.2,946.31,953.75,941.67,942.16,0.3425957184705976
29,29,2021-02-16,944.7,950,23.6,28.2,51.8,13.9,17.6,31.5,952.71,954.94,949.37,950.0,0.3427081928591283
30,30,2021-02-15,944.0,950,24.3,29.3,53.6,14.4,19.3,33.7,946.55,955.42,943.04,949.89,0.3427652055501836
31,31,2021-02-11,937.6,950,22.6,34.4,57.0,14.0,24.0,38.0,953.27,953.96,939.09,942.63,0.3426747460365335
32,32,2021-02-10,949.5,950,27.2,27.6,54.8,16.8,18.2,35.0,955.13,957.03,946.65,950.28,0.34272614776233334
33,33,2021-02-09,945.0,950,25.8,30.6,56.400000000000006,16.2,20.2,36.4,954.11,958.2,948.22,949.46,0.34279992159554934
34,34,2021-02-08,942.2,950,26.8,34.9,61.7,17.2,23.1,40.3,942.44,949.1,940.46,948.24,0.34443476199185136
35,35,2021-02-05,930.3,925,34.9,29.7,64.6,22.8,20.1,42.900000000000006,929.03,934.84,927.29,933.55,0.34406536329624343
36,36,2021-02-04,914.7,925,27.6,38.0,65.6,18.1,26.5,44.6,927.13,931.1,919.96,923.52,0.34387772853894305
37,37,2021-02-03,920.5,925,31.0,36.1,67.1,21.0,24.8,45.8,937.39,938.54,923.94,923.94,0.3438812808952816
38,38,2021-02-02,926.5,925,34.0,33.7,67.7,23.5,23.5,47.0,933.33,937.2,924.15,928.07,0.3439615664401424
39,39,2021-02-01,917.5,925,31.9,40.0,71.9,22.0,28.2,50.2,914.83,926.75,908.04,922.89,0.3440024747511943
40,40,2021-01-29,909.4,900,42.2,33.3,75.5,29.3,23.9,53.2,923.79,925.38,908.82,916.66,0.34393387306625367
