,Date to Expired,Date,S50M22,ATM,Call ATM Premium,Put ATM Premium,Sum ATM Premium,Call OTM Premium,Put OTM Premium,Sum OTM Premium,Open,High,Low,Close,Volatility
24,24,2022-05-25,974.5,975,16.0,17.0,33.0,6.7,8.5,15.2,983.16,988.85,977.13,977.46,0.1203355079193186
25,25,2022-05-24,977.2,975,17.7,15.9,33.6,8.1,8.2,16.299999999999997,986.94,987.55,978.75,979.56,0.1203726363726603
26,26,2022-05-23,983.9,975,21.7,13.0,34.7,9.5,6.8,16.3,981.02,986.98,978.41,986.94,0.12060187866753025
27,27,2022-05-20,976.1,975,18.0,16.7,34.7,8.0,8.7,16.7,975.45,980.31,973.07,977.36,0.12139228971184203
28,28,2022-05-19,961.1,950,25.1,14.1,39.2,12.0,7.4,19.4,964.11,971.48,961.58,966.84,0.12414398779943728
29,29,2022-05-18,973.1,975,16.1,18.1,34.2,7.4,9.0,16.4,972.63,979.27,967.11,977.01,0.12402342016931404
30,30,2022-05-17,967.5,975,14.9,22.0,36.9,6.7,11.3,18.0,961.01,971.8,956.04,970.51,0.12430823489040897
31,31,2022-05-13,948.5,950,19.0,20.3,39.3,9.9,11.5,21.4,955.93,958.63,949.3,953.06,0.12351217279202475
32,32,2022-05-12,944.1,950,18.3,24.2,42.5,9.4,15.0,24.4,958.02,958.73,945.9,950.31,0.12348072846817397
33,33,2022-05-11,957.2,950,22.3,15.1,37.4,10.9,8.6,19.5,964.18,965.66,955.25,961.66,0.122908237888849
34,34,2022-05-10,959.5,950,23.5,14.5,38.0,11.5,8.0,19.5,953.02,965.49,948.9,965.49,0.1232969473417389
35,35,2022-05-09,948.0,950,18.0,19.4,37.4,8.9,11.4,20.3,964.09,964.49,953.46,954.33,0.12313356845276012
36,36,2022-05-06,964.0,975,12.4,23.7,36.1,5.4,12.2,17.6,967.76,972.1,963.95,966.79,0.12246510522081197
37,37,2022-05-05,971.8,975,16.0,19.0,35.0,6.6,10.0,16.6,986.61,989.4,976.89,976.98,0.12206687972557573
38,38,2022-05-03,975.1,975,18.0,18.1,36.1,8.3,9.9,18.200000000000003,983.39,984.8,976.79,979.01,0.12289789866943587
39,39,2022-04-29,978.1,975,19.9,17.2,37.099999999999994,9.3,9.5,18.8,983.67,989.38,983.25,983.56,0.12293167670881422
40,40,2022-04-28,977.9,975,20.4,17.6,38.0,9.7,9.6,19.299999999999997,979.57,985.22,977.16,983.54,0.12394290472902046
41,41,2022-04-27,976.7,975,19.9,18.2,38.099999999999994,9.9,10.2,20.1,980.9,982.69,974.86,978.76,0.12399871404813245
42,42,2022-04-26,981.3,975,22.9,16.3,39.2,10.6,9.4,20.0,987.52,990.66,981.09,981.16,0.12397233018137446
43,43,2022-04-25,978.4,975,21.1,18.7,39.8,10.5,11.0,21.5,987.15,989.08,982.54,983.07,0.12489181819329988
44,44,2022-04-22,990.4,1000,14.7,24.4,39.099999999999994,7.4,13.7,21.1,994.51,996.85,989.48,995.8,0.1247823844763628
45,45,2022-04-21,997.8,1000,18.5,20.6,39.1,9.4,12.0,21.4,997.94,1001.89,995.88,998.37,0.12475448971785488
46,46,2022-04-20,991.7,1000,16.3,24.5,40.8,7.8,14.0,21.8,992.32,997.94,989.97,993.94,0.12475780058450389
47,47,2022-04-19,989.3,1000,15.6,26.1,41.7,7.0,15.5,22.5,997.53,999.75,991.54,991.59,0.12474694841020038
48,48,2022-04-18,988.5,1000,15.4,26.1,41.5,6.9,15.5,22.4,991.83,998.46,990.37,991.8,0.12485026809170835
49,49,2022-04-12,994.9,1000,18.1,23.0,41.1,8.8,14.2,23.0,998.53,1001.18,995.24,996.54,0.12482059348858102
50,50,2022-04-11,997.3,1000,20.0,22.4,42.4,9.7,13.8,23.5,1003.6,1005.48,998.66,1002.47,0.1246853082127006
51,51,2022-04-08,1002.9,1000,22.6,20.6,43.2,11.8,12.3,24.1,1008.22,1010.39,1002.48,1006.33,0.12462037071381983
52,52,2022-04-07,1003.4,1000,23.9,20.9,44.8,12.3,13.0,25.3,1015.57,1016.32,1002.48,1006.38,0.12467933178970099
53,53,2022-04-05,1016.4,1025,17.0,26.1,43.1,8.7,16.0,24.7,1024.11,1027.07,1019.37,1021.32,0.12379216616865207
54,54,2022-04-04,1018.5,1025,18.5,25.2,43.7,9.4,15.5,24.9,1025.39,1026.23,1020.19,1022.81,0.12378045408264787
55,55,2022-04-01,1018.7,1025,19.3,25.1,44.400000000000006,10.2,16.0,26.2,1018.2,1024.14,1016.6,1023.66,0.12398832919417165
56,56,2022-03-31,1016.7,1025,18.8,27.1,45.900000000000006,9.9,17.3,27.200000000000003,1022.09,1024.41,1017.94,1019.67,0.12394320136739807
57,57,2022-03-30,1018.1,1025,19.8,26.5,46.3,10.7,17.6,28.3,1019.64,1026.1,1017.18,1022.83,0.12391570137966637
58,58,2022-03-29,1011.1,1000,31.2,21.0,52.2,18.2,14.2,32.4,1014.63,1018.53,1012.59,1016.8,0.12383077001553335
59,59,2022-03-28,1009.4,1000,31.0,22.0,53.0,17.8,15.0,32.8,1010.49,1015.65,1008.71,1012.43,0.1238686891435885
60,60,2022-03-25,1003.6,1000,28.9,25.0,53.9,16.0,16.9,32.9,1013.95,1014.35,1006.35,1008.81,0.12395765532453058
61,61,2022-03-24,1006.1,1000,30.1,24.9,55.0,17.7,16.7,34.4,1007.67,1014.29,1006.35,1012.34,0.1239386011090233
62,62,2022-03-23,1000.6,1000,28.6,28.1,56.7,16.1,19.0,35.1,1016.13,1017.42,1007.85,1008.61,0.1247682052754514
63,63,2022-03-22,1005.4,1000,32.0,26.1,58.1,18.3,17.5,35.8,1009.95,1014.46,1008.5,1012.53,0.12473817504219246
64,64,2022-03-21,1005.4,1000,30.8,27.0,57.8,18.8,18.0,36.8,1018.09,1019.31,1007.97,1010.88,0.1247307327139824
65,65,2022-03-18,1009.8,1000,35.0,26.0,61.0,21.3,17.5,38.8,1021.54,1023.14,1015.02,1015.02,0.12474492679939032
66,66,2022-03-17,1012.0,1000,36.0,24.7,60.7,23.1,17.0,40.1,1018.02,1023.85,1016.81,1019.17,0.12519429515295882
67,67,2022-03-16,1003.6,1000,32.5,30.0,62.5,19.9,20.3,40.2,1005.67,1012.9,1002.14,1011.95,0.1291517337818236
68,68,2022-03-15,989.1,1000,27.0,37.5,64.5,16.6,27.1,43.7,1004.58,1008.78,994.33,998.72,0.1285069636085915
69,69,2022-03-14,1000.1,1000,32.0,32.0,64.0,19.3,23.0,42.3,1003.31,1008.61,1000.12,1008.36,0.12815665750642563
70,70,2022-03-11,996.1,1000,29.9,34.0,63.9,18.0,24.8,42.8,995.43,1006.81,992.16,1005.31,0.1281664634903054
71,71,2022-03-10,989.0,1000,27.0,40.0,67.0,16.3,28.2,44.5,1000.33,1004.53,995.48,998.41,0.12821025303241462
72,72,2022-03-09,984.7,975,42.0,32.5,74.5,28.0,22.9,50.9,986.57,995.07,975.27,994.96,0.12945334361907754
73,73,2022-03-08,974.0,975,36.6,39.1,75.7,24.1,28.0,52.1,981.04,987.76,958.08,982.97,0.12986046967442813
74,74,2022-03-07,979.2,975,42.8,40.0,82.8,29.0,28.0,57.0,998.92,999.46,976.93,983.58,0.13012421965414958
75,75,2022-03-04,1003.5,1000,33.5,30.4,63.9,20.5,20.5,41.0,1020.34,1021.07,1009.68,1009.68,0.127485050729005
76,76,2022-03-03,1018.3,1025,28.0,35.5,63.5,16.3,24.5,40.8,1031.04,1034.67,1022.74,1026.15,0.12670410901036752
77,77,2022-03-02,1014.5,1025,27.0,37.5,64.5,15.9,27.6,43.5,1022.11,1026.04,1017.94,1023.36,0.12668100547846609
78,78,2022-03-01,1012.0,1000,41.4,28.5,69.9,26.4,19.0,45.4,1022.53,1026.64,1018.87,1021.67,0.12688859779171874
79,79,2022-02-28,1003.4,1000,36.0,32.6,68.6,22.5,22.2,44.7,1011.95,1020.54,1005.4,1016.58,0.12707861133886145
80,80,2022-02-25,1003.3,1000,35.5,32.0,67.5,24.5,21.7,46.2,1012.45,1016.23,1007.12,1012.52,0.12702476528269274
81,81,2022-02-24,996.2,1000,32.3,36.8,69.1,23.5,27.5,51.0,1014.88,1017.46,1000.02,1004.86,0.1268153193502043
82,82,2022-02-23,1011.5,1000,39.3,29.5,68.8,26.6,20.0,46.6,1017.27,1024.37,1013.61,1021.68,0.12661431132517967
83,83,2022-02-22,1004.9,1000,34.4,32.0,66.4,24.4,23.5,47.9,1009.06,1016.98,1005.39,1016.55,0.12695910597508608
84,84,2022-02-21,1009.9,1000,39.6,28.6,68.2,26.7,19.6,46.3,1034.06,1034.2,1017.46,1019.7,0.1269140082689058
85,85,2022-02-18,1026.2,1025,33.2,34.2,67.4,21.5,22.7,44.2,1033.14,1039.55,1029.61,1035.89,0.12597073210023502
86,86,2022-02-17,1023.3,1025,33.6,33.2,66.80000000000001,22.1,24.0,46.1,1034.82,1041.37,1033.83,1035.94,0.12607539188251068
87,87,2022-02-15,1018.5,1025,32.0,37.3,69.3,20.0,25.4,45.4,1023.12,1031.08,1020.02,1029.7,0.12611004202969
88,88,2022-02-14,1008.4,1000,39.8,33.0,72.8,27.5,23.1,50.6,1024.47,1026.31,1017.25,1021.09,0.12586009514609944
89,89,2022-02-11,1015.4,1025,28.4,38.0,66.4,17.3,26.7,44.0,1023.33,1029.84,1020.51,1028.14,0.1275358949640234
90,90,2022-02-10,1017.9,1025,29.0,35.1,64.1,18.5,26.0,44.5,1030.77,1031.72,1024.1,1029.88,0.12845593814820724
91,91,2022-02-09,1016.5,1025,28.4,37.0,65.4,19.9,25.3,45.2,1015.1,1031.47,1014.16,1029.8,0.1287856570125302
92,92,2022-02-08,998.3,1000,28.9,22.6,51.5,18.5,22.9,41.4,1007.91,1012.07,1004.87,1011.5,0.12758869433362094
93,93,2022-02-07,990.5,1000,27.0,34.1,61.1,16.7,27.0,43.7,1006.52,1009.21,998.74,1006.16,0.12813113277653104
94,94,2022-02-04,989.9,1000,25.7,27.5,53.2,17.0,27.0,44.0,1002.29,1007.48,1001.5,1003.29,0.1281132534906992
95,95,2022-02-03,985.0,975,36.4,28.4,64.8,24.5,20.6,45.1,996.7,1002.89,996.7,1000.18,0.12820871685743973
96,96,2022-02-02,985.2,975,36.7,29.5,66.2,23.9,21.5,45.4,1000.57,1002.07,995.05,999.78,0.12850759398053033
97,97,2022-02-01,983.2,975,36.2,19.4,55.6,24.9,22.9,47.8,1000.29,1001.47,998.06,998.15,0.12880174620465998
98,98,2022-01-31,981.4,975,33.6,21.7,55.3,24.9,24.4,49.3,995.91,1000.29,993.17,993.29,0.12948788851939672
99,99,2022-01-28,976.0,975,35.9,35.1,71.0,22.6,27.0,49.6,990.11,994.21,987.79,990.46,0.12982165285737593
100,100,2022-01-27,974.2,975,35.0,37.5,72.5,22.1,28.5,50.6,984.41,988.6,977.24,988.36,0.12991403592099085
101,101,2022-01-26,980.3,975,37.7,33.5,71.2,24.5,25.5,50.0,989.7,995.43,988.07,992.13,0.1298574049479567
102,102,2022-01-25,973.9,975,33.5,26.8,60.3,21.7,28.3,50.0,981.75,985.84,975.62,985.44,0.12971321614809708
103,103,2022-01-24,972.4,975,35.5,38.5,74.0,23.0,28.0,51.0,985.41,989.48,981.81,985.15,0.13172582922612416
104,104,2022-01-21,975.7,975,33.0,27.4,60.4,23.1,25.7,48.8,985.8,989.43,980.71,987.06,0.13263894213569266
105,105,2022-01-20,977.7,975,35.3,26.3,61.599999999999994,23.6,16.2,39.8,992.1,994.56,989.66,990.44,0.13338466601493476
106,106,2022-01-19,979.2,975,39.5,37.0,76.5,25.0,26.4,51.4,987.06,993.94,985.12,989.16,0.1370276269924489
107,107,2022-01-18,975.6,975,38.7,37.3,76.0,24.0,24.7,48.7,998.76,1000.87,987.06,987.6,0.1378289576075514
108,108,2022-01-17,985.8,975,39.8,29.9,69.69999999999999,27.4,15.3,42.7,995.84,999.19,993.6,996.67,0.13833130526996806
109,109,2022-01-14,982.4,975,38.9,30.8,69.7,26.9,21.8,48.7,994.58,997.64,989.86,993.89,0.1397158655310213
110,110,2022-01-13,986.2,975,41.2,26.0,67.2,28.5,20.9,49.4,999.53,1001.51,994.06,996.96,0.14040495228095828
111,111,2022-01-12,986.1,975,42.5,29.8,72.3,30.0,20.1,50.1,998.06,1000.2,993.85,998.37,0.14066900226651677
112,112,2022-01-11,980.5,975,38.0,29.1,67.1,26.5,22.5,49.0,986.44,992.59,986.14,991.82,0.14161830339731002
113,113,2022-01-10,974.6,975,37.5,34.2,71.7,25.0,24.9,49.9,987.7,990.32,982.39,985.79,0.1421779557547727
114,114,2022-01-07,974.1,975,36.9,35.4,72.3,24.0,26.5,50.5,988.09,990.41,981.31,985.96,0.14299109720402917
115,115,2022-01-06,975.8,975,36.4,34.8,71.19999999999999,24.5,26.0,50.5,992.83,994.69,983.14,983.71,0.15525898101487481
116,116,2022-01-05,992.9,1000,31.8,36.2,68.0,20.5,28.4,48.9,1000.1,1004.26,998.04,1002.61,0.15407349710951918
117,117,2022-01-04,990.2,1000,29.3,38.5,67.8,20.5,26.1,46.6,995.8,1002.71,995.17,999.46,0.1540613922772162
118,118,2021-12-30,983.6,975,40.0,30.5,70.5,26.0,22.0,48.0,991.81,993.53,986.45,990.75,0.15382949050606534
119,119,2021-12-29,979.7,975,38.3,31.5,69.8,27.0,27.0,54.0,983.23,990.57,981.58,989.3,0.15383013891537128
120,120,2021-12-28,972.3,975,0.0,0.0,0.0,,,,978.5,986.04,978.32,982.48,0.15409853509225083
