,Date to Expired,Date,S50M22,ATM,Call ATM Premium,Put ATM Premium,Sum ATM Premium,Call OTM Premium,Put OTM Premium,Sum OTM Premium,Open,High,Low,Close,Volatility
0,0,2022-06-29,962.49,950,962.49,962.49,1924.98,,,0.0,963.19,965.61,959.57,963.08,0.12134338985886377
1,1,2022-06-28,963.8,975,0.7,11.3,12.0,0.1,0.4,0.5,958.59,969.95,955.48,968.73,0.1215450775952416
2,2,2022-06-27,958.4,950,9.8,1.3,11.100000000000001,0.5,0.1,0.6,956.47,961.87,954.97,958.71,0.1211109814836057
3,3,2022-06-24,948.0,950,4.9,6.6,11.5,0.4,0.6,1.0,949.69,951.68,943.69,950.36,0.12115355073968305
4,4,2022-06-23,942.7,950,4.0,11.2,15.2,0.4,1.3,1.7000000000000002,948.14,948.58,940.87,943.42,0.12092234144322599
5,5,2022-06-22,943.0,950,5.5,12.5,18.0,0.9,2.8,3.6999999999999997,950.86,951.83,939.3,945.8,0.12125432521421851
6,6,2022-06-21,953.5,950,10.0,6.7,16.7,1.5,1.3,2.8,952.71,956.85,947.16,954.71,0.12089736346634485
7,7,2022-06-20,942.5,950,6.0,13.4,19.4,1.0,3.9,4.9,942.82,950.24,940.16,946.34,0.12057063921838373
8,8,2022-06-17,942.9,950,7.9,14.8,22.700000000000003,1.9,4.5,6.4,941.07,952.25,936.57,945.05,0.12071067803181451
9,9,2022-06-16,940.7,950,7.3,16.5,23.8,1.8,5.0,6.8,972.18,973.71,944.78,944.9,0.12074352608785933
10,10,2022-06-15,964.9,975,5.8,15.3,21.1,1.3,5.0,6.3,971.21,972.11,962.64,965.91,0.12027966362801978
11,11,2022-06-14,966.8,975,6.5,14.6,21.1,1.3,4.6,5.8999999999999995,968.12,974.12,964.07,970.69,0.1203595281083717
12,12,2022-06-13,967.8,975,7.4,14.7,22.1,1.7,4.9,6.6000000000000005,975.27,978.03,967.11,968.75,0.1203479351464688
13,13,2022-06-10,986.5,975,16.0,4.9,20.9,4.4,1.1,5.5,989.69,992.73,985.84,987.61,0.11914161593358819
14,14,2022-06-09,991.2,1000,6.0,14.6,20.6,1.2,3.8,5.0,988.71,995.94,987.87,993.15,0.1198067167864325
15,15,2022-06-08,985.4,975,16.5,6.2,22.7,4.8,1.8,6.6,990.39,991.57,983.94,988.66,0.11976954216416409
16,16,2022-06-07,985.1,975,17.6,7.8,25.400000000000002,5.9,3.0,8.9,992.69,993.52,984.36,986.07,0.11974950322722358
17,17,2022-06-06,994.0,1000,9.9,16.0,25.9,3.0,6.0,9.0,997.63,998.8,987.92,995.24,0.1195096864736957
18,18,2022-06-02,996.2,1000,12.1,15.9,28.0,3.8,6.7,10.5,999.3,1000.33,994.25,995.9,0.11965313188904513
19,19,2022-06-01,1001.1,1000,15.0,14.0,29.0,4.9,5.9,10.8,1000.98,1004.63,997.2,1002.24,0.11991175064880515
20,20,2022-05-31,998.0,1000,13.6,15.5,29.1,4.6,6.8,11.399999999999999,995.6,1002.27,992.26,1002.24,0.11991149011161241
21,21,2022-05-30,995.8,1000,12.8,16.9,29.7,4.7,7.6,12.3,994.38,998.18,990.79,995.88,0.11975476290747392
22,22,2022-05-27,985.8,975,21.7,10.8,32.5,8.8,5.1,13.9,990.58,992.21,982.59,987.08,0.1204089137089339
23,23,2022-05-26,980.0,975,18.4,13.0,31.4,7.4,6.4,13.8,981.26,985.03,979.96,983.09,0.12043884339148828
