,Date to Expired,Date,S50U22,ATM,Call ATM Premium,Put ATM Premium,Sum ATM Premium,Call OTM Premium,Put OTM Premium,Sum OTM Premium,Open,High,Low,Close,Volatility
0,0,2022-09-29,958.07,950,958.07,958.07,1916.14,,,0.0,968.24,973.22,954.51,956.73,0.11515451958380023
1,1,2022-09-28,961.2,950,11.9,0.7,12.6,0.3,0.1,0.4,965.31,969.07,962.4,963.75,0.11514115783262029
2,2,2022-09-27,969.2,975,1.7,7.1,8.799999999999999,0.1,0.3,0.4,975.65,979.89,970.95,972.71,0.11483437896368161
3,3,2022-09-26,971.8,975,3.8,6.7,10.5,0.2,0.6,0.8,977.8,978.57,970.48,974.9,0.11486741343398645
4,4,2022-09-23,978.1,975,7.2,3.9,11.1,0.3,0.6,0.8999999999999999,988.26,990.73,980.05,980.86,0.115196678998886
5,5,2022-09-22,987.5,975,14.4,1.8,16.2,1.4,0.2,1.5999999999999999,981.36,992.47,977.65,989.15,0.11489448305202961
6,6,2022-09-21,982.9,975,12.5,4.6,17.1,1.2,1.0,2.2,986.37,988.62,983.2,983.43,0.11490963426543577
7,7,2022-09-20,982.1,975,11.9,5.1,17.0,1.0,1.0,2.0,986.7,990.22,983.71,985.66,0.114931290106064
8,8,2022-09-19,978.8,975,10.9,6.9,17.8,1.1,1.7,2.8,982.59,984.59,979.35,981.37,0.11486136721239432
9,9,2022-09-16,979.5,975,11.6,7.6,19.2,1.8,2.2,4.0,986.5,988.07,979.63,981.42,0.11536326877781694
10,10,2022-09-15,985.2,975,15.5,5.0,20.5,2.7,1.5,4.2,997.23,997.96,988.56,989.04,0.11517201306475713
11,11,2022-09-14,995.7,1000,6.2,10.2,16.4,0.9,3.1,4.0,991.86,998.94,990.42,996.41,0.11503378676168075
12,12,2022-09-13,1001.2,1000,8.9,8.0,16.9,1.5,2.4,3.9,1003.06,1005.46,998.97,1001.73,0.1159359314877247
13,13,2022-09-12,1000.1,1000,9.4,9.3,18.700000000000003,1.4,3.1,4.5,997.84,1004.56,997.2,1001.19,0.11617703240511255
14,14,2022-09-09,990.9,1000,4.5,13.8,18.3,0.6,4.8,5.3999999999999995,991.43,996.05,988.43,993.48,0.11593003252667651
15,15,2022-09-08,983.3,975,15.6,7.5,23.1,3.1,2.2,5.300000000000001,993.09,995.19,985.33,987.49,0.11612079973294241
16,16,2022-09-07,984.8,975,16.9,7.3,24.2,3.4,2.6,6.0,988.78,990.58,983.5,989.33,0.11613273459618202
17,17,2022-09-06,985.5,975,18.0,7.6,25.6,4.1,2.7,6.8,986.29,993.75,984.75,990.97,0.11838795311123132
18,18,2022-09-05,977.4,975,13.8,11.2,25.0,3.4,4.3,7.699999999999999,984.57,984.81,977.33,982.59,0.11821952683024797
19,19,2022-09-02,977.5,975,14.8,12.4,27.200000000000003,4.0,4.8,8.8,984.56,987.31,976.98,983.99,0.11845391140469949
20,20,2022-09-01,980.8,975,17.2,11.5,28.7,4.9,4.8,9.7,993.51,995.87,981.1,984.55,0.11853562593148974
21,21,2022-08-31,989.4,1000,7.7,18.8,26.5,1.2,9.1,10.299999999999999,989.33,998.53,987.55,996.33,0.118146778073068
